!SIL    SIL
चारी	c aa r ii
चारुमति	c aa r u m t i
चारू	c aa r uu
चारे	c aa r ee
चारो	c aa r o
चारों	c aa r o q
चार्ज	c aa r j
चार्ज़	c aa r z
चार्जर	c aa r j a r
चार्जशीट	c aa r j a sh ii tx
चार्जषीटों	c aa r j a sx ii tx o q
चार्जिंग	c aa r j i q g
चार्जेज	c aa r j ee j
चार्जेस	c aa r j ee s
चार्ट	c aa r tx
चार्टट	c aa r tx a tx
चार्टर	c aa r tx a r
चार्टर्ड	c aa r tx a r dx
चार्टिस्ट	c aa r tx i s tx
चार्य	c aa r y
चार्ल्स	c aa r l s
चार्ल्समेटकॉफ	c aa r l s a m ee tx k ax ph
चाल	c aa l
चालक	c aa l a k
चालको	c aa l k o
चालकों	c aa l k o q
चालबाज़	c aa l b aa z
चालस	c aa l a s
चालसलाइन	c aa l s a l aa i n
चालाकी	c aa l aa k ii
चालान	c aa l aa n
चालित	c aa l i t
चालिये	c aa l i y ee
चालिस	c aa l i s
चालीस	c aa l ii s
चालु	c aa l u
चालुक्केय	c aa l u k k ee y
चालुक्य	c aa l u k y
चालू	c aa l uu
चालें	c aa l ee q
चाल्स	c aa l s
चाव	c aa w
चावल	c aa w a l
चावला	c aa w l aa
चावली	c aa w l ii
चावले	c aa w l ee
चावलों	c aa w l o q
चाविक्रय	c aa w i k r a y
चाशयर	c aa sh y a r
चास	c aa s
चांस	c aa q s
चांसलर	c aa q s a l a r
चासे	c aa s ee
चांसेस	c aa q s ee s
चाह	c aa h
चाहत	c aa h a t
चाहता	c aa h t aa
चाहती	c aa h t ii
चाहते	c aa h t ee
चाहतें	c aa h t ee q
चाहतो	c aa h t o
चाहतों	c aa h t o q
चाहत्तर	c aa h a t t a r
चाहनी	c aa h n ii
चाहने	c aa h n ee
चाहमचं	c aa h m c a q
चाहर	c aa h a r
चाहा	c aa h aa
चाहि	c aa h i
चाहिए	c aa h i ee
चाहिएं	c aa h i ee q
चाहिएकंगना	c aa h i ee k a q g a n aa
चाहिएसो	c aa h i ee s o
चाहिता	c aa h i t aa
चाहिते	c aa h i t ee
चाहिये	c aa h i y ee
चाहियें	c aa h i y ee q
चाही	c aa h ii
चाहुँगा	c aa h u mq g aa
चाहुँगी	c aa h u mq g ii
चाहुवोर	c aa h u w o r
चाहूं	c aa h uu q
चाहूँगा	c aa h uu mq g aa
चाहूंगा	c aa h uu q g aa
चाहूँगी	c aa h uu mq g ii
चाहूंगी	c aa h uu q g ii
चाहे	c aa h ee
चाहें	c aa h ee q
चाहे़ग	c aa h ee nk a g
चाहेगा	c aa h ee g aa
चाहेगी	c aa h ee g ii
चाहेंगी	c aa h ee q g ii 
चाहेगे	c aa h ee g ee
चाहे़गे	c aa h ee nk g ee
चाहेंगे	c aa h ee q g ee
चाहो	c aa h o
चाहोगे	c aa h o g ee
चाहोत्तर	c aa h o t t a r
चाह्जत	c aa h j a t
चिक	c i k
चिकन	c i k a n
चिकनगुनिया	c i k n a g u n i y aa
चिकना	c i k n aa
चिकनाई	c i k n aa ii
चिकनाडीह	c i k n aa dx ii h
चिकनी	c i k n ii
चिकमंगलूर	c i k m a q g a l uu r
चिकान	c i k aa n
चिंकारा	c i q k aa r aa
चिकित्स	c i k i t s
चिकित्सक	c i k i t s a k
चिकित्सको	c i k i t s a k o
चिकित्सकों	c i k i t s a k o q
चिकित्सा	c i k i t s aa
चिकित्साकर्मियो	c i k i t s aa k a r m i y o
चिकित्सालय	c i k i t s aa l a y
चिकित्सीय	c i k i t s ii y
चिकुतय	c i k u t a y
चिके	c i k ee
चिकेनगुनिये	c i k ee n a g u n i y ee
चिकेनरोग	c i k ee n r o g
चिको	c i k o
चिंगलेनसाना	c i q g a l ee n s aa n aa
चिंगारियां	c i q g aa r i y aa q
चिंगारी	c i q g aa r ii
चिंगारीयॉ	c i q g aa r ii y ax
चिंघा	c i q gh aa
चिट	c i tx
चिटठा	c i tx txh aa
चिट्टे	c i tx tx ee
चिट्ठी	c i tx txh ii
चिठ्ठी	c i txh txh ii
चिड़चिड़ा	c i dxq c i dxq aa
चिड़चिड़ाना	c i dxq c i dxq aa n aa
चिड़चिड़ापन	c i dxq c i dxq aa p a n
चिडियाँ	c i dx i y aa mq
चिड़िया	c i dxq i y aa
चिड़िया	c i dxq i y aa
चिड़ियाँ	c i dxq i y aa mq
चिड़ियाखाना	c i dxq i y aa kh aa n aa
चिड़ियाघर	c i dxq i y aa gh a r
चिड़ियाघरों	c i dxq i y aa gh r o q
चिडियों	c i dx i y o q
चिड़ियों	c i dxq i y o q
चिड़ियों	c i dxq i y o q
चिढ़	c i dxhq 
चिढ़कर	c i dxhq k a r
चिढ़ा	c i dxhq aa
चिढाए	c i dxhq aa ee
चिढाते	c i dxhq aa t ee
चित	c i t
चितअनुपालन	c i t a n u p aa l a n
चिंतक	c i q t a k
चिंतन	c i q t a n
चिंतनीय	c i q t a n ii y
चिंतमणि	c i q t a m nx i
चितर	c i t a r
चितरंजन	c i t r a q j a n
चितरपुर	c i t a r p u r
चितवार	c i t a w aa r
चिता	c i t aa
चिंता	c i q t aa
चिंताएं	c i q t aa ee q
चिंताओं	c i q t aa o q
चिंताग्रसित	c i q t aa g r a s i t
चिंताजनक	c i q t aa j n a k
चिंतात्मक	c i q t aa t m a k
चिंतामणि	c i q t aa m nx i
चितिंत	c i t i q t
चिंतित	c i q t i t
चितोर	c i t o r
चितौड़	c i t ou dxq
चितौरा	c i t ou r aa
चित्टोला	c i t tx o l aa
चित्त	c i t t
चित्तरपुर	c i t t r a p u r
चित्तोर	c i t t o r
चित्तौड़	c i t t ou dxq
चित्र	c i t r
चित्रकार	c i t r a k aa r
चित्रकारी	c i t r a k aa r ii
चित्रकारों	c i t r a k aa r o q
चित्रकूट	c i t r a k uu tx
चित्रगुप्त	c i t r a g u p t
चित्रण	c i t r a nx
चित्रलेखा	c i t r a l ee kh aa
चित्रा	c i t r aa
चित्रांकन	c i t r aa q k a n
चित्रात्मक	c i t r aa t m a k
चित्रासन	c i t r aa s a n
चित्रों	c i t r o q
चित्वेवा	c i t w ee w aa
चिदंबर	c i d a q b a r
चिदबरम	c i d b a r a m
चिदबंरम	c i d b a q r a m
चिदंबरम	c i d a q b a r a m
चिद्र	c i d r
चिधथा	c i dh a th aa
चिनगारी	c i n g aa r ii
चिनना	c i n n aa
चिनाई	c i n aa ii
चिनाप	c i n aa p
चिने	c i n ee
चिन्टू	c i n tx uu
चिन्तक	c i n t a k
चिन्ता	c i n t aa
चिन्ताओ	c i n t aa o
चिन्ताजनक	c i n t aa j n a k
चिन्द्वारा	c i n d w aa r aa
चिन्मय	c i n m a y
चिन्वाडा	c i n w aa dx aa
चिन्ह	c i n h
चिन्हहे	c i n h a h ee
चिन्हा	c i n h aa
चिन्हित	c i n h i t
चिन्हों	c i n h o q
चिप	c i p
चिपक	c i p a k
चिपकने	c i p a k n ee
चिपका	c i p k aa
चिपकाए	c i p k aa ee
चिपकाकर	c i p k aa k a r
चिपकाये	c i p k aa y ee
चिपकी	c i p k ii
चिपके	c i p k ee
चिपटता	c i p a tx t aa
चिपरी	c i p r ii
चिपसेट	c i p s ee tx
चिपाती	c i p aa t ii
चिपुड़	c i p u dxq
चिप्स	c i p s
चिम	c i m
चिमटा	c i m tx aa
चिमटावादी	c i m tx aa w aa d ii
चिमन	c i m a n
चिमना	c i m n aa
चिमनियों	c i m n i y o q
चिमनी	c i m n ii
चिम्मुर	c i m m u r
चियासी	c i y aa s ii
चियेंद्र	c i y ee q d r
चिरई	c i r ii
चिरकाल	c i r k aa l
चिरगाँव	c i r g aa mq w
चिरंजी	c i r a q j ii
चिरंजीव	c i r a q j ii w
चिरंजीवी	c i r a q j ii w ii
चिरंतन	c i r a q t a n
चिरनी	c i r n ii
चिराग	c i r aa g
चिरान	c i r aa n
चिरैया	c i r ei y aa
चिल	c i l
चिलचिलाता	c i l c i l aa t aa
चिलचिलाती	c i l c i l aa t ii
चिलम	c i l a m
चिला	c i l aa
चिलीज	c i l ii j
चिलीज़	c i l ii z
चिलेवा	c i l ee w aa
चिल्का	c i l k aa
चिल्चिलाती	c i l c i l aa t ii
चिल्चिल्कारी	c i l c i l k aa r ii
चिल्ड्रेन	c i l dx r ee n
चिल्ल	c i l l
चिल्लपों	c i l l p o q
चिल्लर	c i l l a r
चिल्ला	c i l l aa
चिल्लाई	c i l l aa ii
चिल्लाए	c i l l aa ee
चिल्लाएंगे	c i l l aa ee q g ee
चिल्लाओ	c i l l aa o
चिल्लाकर	c i l l aa k a r
चिल्लाता	c i l l aa t aa
चिल्लाती	c i l l aa t ii
चिल्लाते	c i l l aa t ee
चिल्लाना	c i l l aa n aa
चिल्लाने	c i l l aa n ee
चिल्लाया	c i l l aa y aa
चिव	c i w
चिश्ती	c i sh t ii
चिस्ती	c i s t ii
चिंह	c i q h
चिहत्तर	c i h a t t a r
चिहत्तरबईस	c i h a t t r a b ii s
चिह्न	c i h n
चिह्नित	c i h n i t
ची	c ii
चीकुती	c ii k u t ii
चीकू	c ii k uu
चीख	c ii kh
चीख़ता	c ii khq t aa
चीखते	c ii kh t ee
चीख़ते	c ii khq t ee
चीज	c ii j
चीज़	c ii z
चीज़	c ii z
चीजइतनी	c ii j i t n ii
चीजसे	c ii j s ee
चीजे	c ii j ee
चीजें	c ii j ee q
चीज़े	c ii z ee
चीज़ें	c ii z ee q
चीज़ें	c ii z ee q
चीजो	c ii j o
चीजों	c ii j o q
चीज़ों	c ii z o q
चीज़ों	c ii z o q
चीटर	c ii tx a r
चीटिंग	c ii tx i q g
चीटियां	c ii tx i y aa q
चीटी	c ii tx ii
चीड़	c ii dxq
चीत	c ii t
चीता	c ii t aa
चीते	c ii t ee
चीन	c ii n
चीनारोगर	c ii n aa r o g a r
चीनियों	c ii n i y o q
चीनी	c ii n ii
चीप	c ii p
चीफ	c ii ph
चीफ़	c ii f
चीमटा	c ii m tx aa
चीर	c ii r
चीरता	c ii r t aa
चीरफाड़	c ii r a ph aa dxq
चील	c ii l
चीसे	c ii s ee
चु	c u
चुआं	c u aa q
चुक	c u k
चुकता	c u k t aa
चुकते	c u k t ee
चुकंदर	c u k a q d a r 
चुका	c u k aa
चुकाए	c u k aa ee
चुकाकर	c u k aa k a r
चुकाते	c u k aa t ee
चुकाना	c u k aa n aa
चुकानी	c u k aa n ii
चुकाने	c u k aa n ee
चुकाया	c u k aa y aa
चुकायी	c u k aa y ii
चुंकि	c u q k i
चुकी	c u k ii
चुकीं	c u k ii q
चुंकी	c u q k ii
चुके	c u k ee
चुक्ता	c u k t aa
चुग	c u g
चुगली	c u g l ii
चुंगी	c u q g ii
चुटकियां	c u tx k i y aa q
चुटकियों	c u tx k i y o q
चुटकी	c u tx k ii
चुटकुला	c u tx k u l aa
चुटकुले	c u tx k u l ee
चुटकुलों	c u tx k u l o q
चुट्कुला	c u tx k u l aa
चुडियो	c u dx i y o
चुन	c u n
चुनकर	c u n k a r
चुनती	c u n t ii
चुनना	c u n n aa
चुननी	c u n n ii
चुनने	c u n n ee
चुनरिया	c u n r i y aa
चुनरी	c u n r ii
चुना	c u n aa
चुनार	c u n aa r
चुनारगढ़	c u n aa r g a dxhq
चुनाव	c u n aa w
चुनावी	c u n aa w ii
चुनावो	c u n aa w o
चुनावों	c u n aa w o q
चुनिए	c u n i ee
चुनिंदा	c u n i q d aa
चुनिन्दा	c u n i n d aa
चुनी	c u n ii
चुनीव	c u n ii w
चुनूँ	c u n uu mq
चुने	c u n ee
चुनें	c u n ee q
चुनेगी	c u n ee g ii
चुनेंगे	c u n ee q g ee
चुनौतिपूर्ण	c u n ou t i p uu r nx
चुनौतिया	c u n ou t i y aa
चुनौतियाँ	c u n ou t i y aa mq
चुनौतियां	c u n ou t i y aa q
चुनौतियों	c u n ou t i y o q
चुनौती	c u n ou t ii
चुनौतीपूर्ण	c u n ou t ii p uu r nx
चुन्कुक	c u n k u k
चुप	c u p
चुपके	c u p k ee
चुपचाप	c u p c aa p
चुपड़ी	c u p dxq ii
चुप्पी	c u p p ii
चुंबनों	c u q b a n o q 
चुभ	c u bh
चुभन	c u bh n
चुभने	c u bh n ee
चुभी	c u bh ii
चुभे	c u bh ee
चुभोई	c u bh o ii
चुरा	c u r aa
चुराई	c u r aa ii
चुराए	c u r aa ee
चुराकर	c u r aa k a r
चुराते	c u r aa t ee
चुराना	c u r aa n aa
चुराने	c u r aa n ee
चुराया	c u r aa y aa
चुलबुल	c u l a b u l
चुलबुलाती	c u l a b u l aa t ii
चुलाई	c u l aa ii
चुल्लू	c u l l uu
चुवार	c u w aa r
चुसकिया	c u s a k i y aa
चुस्की	c u s k ii 
चुस्त	c u s t
चुस्ती	c u s t ii
चूक	c uu k
चूकते	c uu k t ee
चूका	c uu k aa
चूँकि	c uu mq k i
चूंकि	c uu q k i
चूके	c uu k ee
चूड़ा	c uu dxq aa
चूड़ियों	c uu dxq i y o q
चूड़ियों	c uu dxq i y o q
चूड़ी	c uu dxq ii
चूड़ी	c uu dxq ii
चूना	c uu n aa
चूम	c uu m
चूमने	c uu m n ee
चूर	c uu r
चूर्ण	c uu r nx
चूल्हा	c uu l h aa
चूल्हे	c uu l h ee
चूल्हों	c uu l h o q
चूस	c uu s
चूसकर	c uu s k a r
चूसता	c uu s t aa
चूसती	c uu s t ii
चूसने	c uu s n ee
चूहड़ों	c uu h dxq o q
चूहा	c uu h aa
चूहे	c uu h ee
चूहों	c uu h o q
चे	c ee
चेक	c ee k
चेकअप	c ee k a p
चेका	c ee k aa
चेकिंग	c ee k i q g
चेकोस्लोवाकिया	c ee k o s l o w aa k i y aa
चेंग	c ee q g
चेचक	c ee c a k
चेज	c ee j
चेंज	c ee q j
चेंजिंग	c ee q j i q g
चेंजिस	c ee q j i s
चेंजेज	c ee q j ee j
चेटक	c ee tx a k
चेट्टी	c ee tx tx ii
चेत	c ee t
चेतक	c ee t a k
चेतन	c ee t a n
चेतना	c ee t n aa
चेतने	c ee t n ee
चेतरा	c ee t r aa
चेता	c ee t aa
चेताते	c ee t aa t ee
चेताया	c ee t aa y aa
चेतावनियों	c ee t aa w n i y o q
चेतावनी	c ee t aa w n ii
चेती	c ee t ii
चेतेश	c ee t ee sh
चेतेश्वर	c ee t ee sh w a r
चेथुक	c ee th u k
चेदी	c ee d ii
चेदेल	c ee d ee l
चेद्ठे	c ee d txh ee
चेन	c ee n
चेनपुर	c ee n a p u r
चेनल	c ee n a l
चेनार	c ee n aa r
चेनी	c ee n ii
चेंनेल	c ee q n ee l
चेंनैयाँ	c ee q n ei y aa mq
चेन्नई	c ee n n ii
चेन्नईयिन	c ee n n ii y i n
चेन्नै	c ee n n ei
चेपक	c ee p a k
चेपुर	c ee p u r
चेपॉक	c ee p ax k
चेप्टर	c ee p tx a r
चेंबर	c ee q b a r
चेमपीयनशीप	c ee m p ii y n sh ii p
चेम्बर	c ee m b a r
चेम्सफोर्ड	c ee m s a ph o r dx
चेयर	c ee y a r
चेयरपर्सन	c ee y a r p a r s a n
चेयरमैन	c ee y r a m ei n
चेयरिमैन	c ee y r i m ei n
चेरनोबिल	c ee r n o b i l
चेरलापल्ली	c ee r l aa p a l l ii
चेरिटी	c ee r i tx ii
चेरो	c ee r o
चेरौन	c ee r ou n
चेलना	c ee l n aa
चेला	c ee l aa
चेले	c ee l ee
चेलेंज	c ee l ee q j
चेलों	c ee l o q
चेष्टा	c ee sx tx aa
चेस्ट	c ee s tx
चेस्टउप	c ee s tx u p
चेहरा	c ee h r aa
चेहरे	c ee h r ee
चेहरों	c ee h r o q
चेहल्लुम	c ee h a l l u m
चैक	c ei k
चैंकाने	c ei q k aa n ee
चैट	c ei tx
चैटम	c ei tx a m
चैटिंग	c ei tx i q g
चैतन्य	c ei t a n y
चैता	c ei t aa
चैती	c ei t ii
चैतीस	c ei t ii s
चैत्र	c ei t r
चैंदपयन	c ei q d a p a y a n
चैन	c ei n
चैनपुर	c ei n a p u r
चैनल	c ei n a l
चैनलों	c ei n l o q
चैनल्स	c ei n a l s
चैन्नई	c ei n n ii
चैंपियन	c ei q p i y a n
चैंपियनशिप	c ei q p i y n a sh i p
चैंपियन्स	c ei q p i y a n s
चैंपियंस	c ei q p i y a q s
चैप्टर	c ei p tx a r
चैप्टरों	c ei p tx a r o q
चैप्टर्	c ei p tx a r
चैप्टर्स	c ei p tx a r s
चैबीस	c ei b ii s
चैम्कुरम	c ei m k u r a m
चैम्प	c ei m p
चैम्पियन	c ei m p i y a n
चैम्पिंयन	c ei m p i q y a n
चैंम्पियन	c ei q m p i y a n
चैम्बर	c ei m b a r
चैम्बर्स	c ei m b a r s
चैयता	c ei y t aa
चैराहों	c ei r aa h o q
चैरिटी	c ei r i tx ii
चैरिटेबल	c ei r i tx ee b a l
चैलेंज	c ei l ee q j
चैलेंजर	c ei l ee q j a r
चैलेंजर्स	c ei l ee q j a r s
चॉइस	c ax i s
चॉकलेट	c ax k l ee tx
चॉपर	c ax p a r
चॉपिंग	c ax p i q g
चोईथड़ा	c o ii th dxq aa
चोकर	c o k a r
चोकरी	c o k r ii
चोकलेट	c o k l ee tx
चोकसी	c o k s ii
चोक्कने	c o k k n ee
चोक्लुख	c o k l u kh
चोखा	c o kh aa
चोच	c o c
चोट	c o tx
चोटग्रस्त	c o tx a g r a s t
चोटियों	c o tx i y o q
चोटिल	c o tx i l
चोटी	c o tx ii
चोटें	c o tx ee q
चोटों	c o tx o q
चोथा	c o th aa
चोदवा	c o d w aa
चोंदह	c o q d a h
चोदह्वे	c o d a h w ee
चोदाह	c o d aa h
चोने	c o n ee
चोपड़ा	c o p dxq aa
चोपड़ा	c o p dxq aa
चोबालिस	c o b aa l i s
चोबीस	c o b ii s
चोमस्की	c o m a s k ii
चोम्स	c o m s
चोम्स्की	c o m s k ii
चोर	c o r
चोरन	c o r a n
चोरने	c o r n ee
चोरमारी	c o r m aa r ii
चोरांबे	c o r aa q b ee
चोरिया	c o r i y aa
चोरियां	c o r i y aa q
चोरी	c o r ii
चोरो	c o r o
चोरों	c o r o q
चोला	c o l aa
चोलामंडलम	c o l aa m a q dx a l a m
चोली	c o l ii
चोवनीस	c o w n ii s
चोवमिन	c o w m i n
चोसट	c o s a tx
चोहत्तर	c o h a t t a r
चौ	c ou
चौक	c ou k
चौंक	c ou q k
चौंककर	c ou q k a k a r
चौकचौराहों	c ou k c ou r aa h o q
चौकठिया	c ou k txh i y aa
चौकड़ी	c ou k dxq ii
चौकन	c ou k a n
चौकन्ना	c ou k a n n aa
चौकलेट	c ou k l ee tx
चौकस	c ou k a s
चौकसी	c ou k s ii
चौकसे	c ou k s ee
चौका	c ou k aa
चौंका	c ou q k aa
चौंकाता	c ou q k aa t aa
चौकाती	c ou k aa t ii
चौकाने	c ou k aa n ee
चौंकाने	c ou q k aa n ee
चौंकाया	c ou q k aa y aa 
चौकिये	c ou k i y ee
चौकियों	c ou k i y o q
चौकी	c ou k ii
चौकीदार	c ou k ii d aa r
चौकीदारी	c ou k ii d aa r ii
चौकीदारों	c ou k ii d aa r o q
चौके	c ou k ee
चौको	c ou k o
चौकों	c ou k o q
चौखट	c ou kh a tx
चौगना	c ou g n aa
चौगनी	c ou g n ii
चौगुनी	c ou g u n ii
चौड़ा	c ou dxq aa
चौड़ा	c ou dxq aa
चौडाई	c ou dx aa ii
चौड़ाई	c ou dxq aa ii
चौड़ाई	c ou dxq aa ii
चौड़ी	c ou dxq ii
चौड़ी	c ou dxq ii
चौड़ीकरण	c ou dxq ii k r a nx
चौड़े	c ou dxq ee
चौतरफा	c ou t a r ph aa
चौतरफ़ा	c ou t a r f aa
चौतीस	c ou t ii s
चौंतीस	c ou q t ii s
चौथ	c ou th
चौथा	c ou th aa
चौथाई	c ou th aa ii
चौथाभेद	c ou th aa bh ee d
चौथी	c ou th ii
चौथे	c ou th ee
चौंथे	c ou q th ee
चौद	c ou d
चौदह	c ou d a h
चौदहवां	c ou d h a w aa q
चौदहवे	c ou d a h w ee
चौदहवें	c ou d h a w ee q
चौदहवेंं	c ou d h a w ee q q
चौदा	c ou d aa
चौदाह	c ou d aa h
चौदाहवें	c ou d aa h w ee q
चौधरी	c ou dh r ii
चौधुरानी	c ou dh u r aa n ii
चौन्तालीसवे	c ou n t aa l ii s w ee
चौन्तीस	c ou n t ii s
चौपट	c ou p a tx
चौपहिया	c ou p h i y aa
चौपाल	c ou p aa l
चौप्स्टिक	c ou p s tx i k
चौबंद	c ou b a q d
चौबिनशॉ	c ou b i n sh ax
चौबीस	c ou b ii s
चौबीसवा	c ou b ii s w aa
चौबीसवां	c ou b ii s w aa q
चौबीसवें	c ou b ii s w ee q
चौबीसों	c ou b ii s o q
चौबे	c ou b ee
चौब्बीस	c ou b b ii s
चौमासी	c ou m aa s ii
चौमिन	c ou m i n
चौमुखी	c ou m u kh ii
चौरसिया	c ou r s i y aa
चौरा	c ou r aa
चौरानबे	c ou r aa n b ee
चौरानवे	c ou r aa n w ee
चौरान्नवे	c ou r aa n n w ee
चौरान्वे	c ou r aa n w ee
चौरासी	c ou r aa s ii
चौरासीइंडिया	c ou r aa s ii i q dx i y aa
चौराहता	c ou r aa h t aa
चौराहा	c ou r aa h aa
चौराही	c ou r aa h ii
चौराहे	c ou r aa h ee
चौराहें	c ou r aa h ee q
चौराहों	c ou r aa h o q
चौरी	c ou r ii
चौर्बन	c ou r b a n
चौवन	c ou w a n
चौवन्न	c ou w a n n
चौवालिस	c ou w aa l i s
चौवालिस्वें	c ou w aa l i s w ee q
चौवालीस	c ou w aa l ii s
चौवालीसवें	c ou w aa l ii s w ee q
चौव्वन	c ou w w a n
चौसट	c ou s a tx
चौसठ	c ou s a txh
चौंसठ	c ou q s a txh
चौसा	c ou s aa
चौहतर	c ou h t a r
चौहत्तर	c ou h a t t a r
चौहन	c ou h a n
चौहपुर	c ou h a p u r
चौहान	c ou h aa n
च्त्रुकंद	c t r u k a q d
च्द्न्र	c d n r
च्यवनप्राश	c y a w n a p r aa sh
च्वाइस	c w aa i s
च्वाईस	c w aa ii s
च्वार	c w aa r
च्वारो	c w aa r o
छ	ch a
छः	ch hq a
छकाती	ch a k aa t ii
छकाया	ch a k aa y aa
छक्का	ch a k k aa
छक्के	ch a k k ee
छक्को	ch a k k o
छक्क‍ों	ch a k k o q
छक्कों	ch a k k o q
छंट	ch a q tx
छटनी	ch a tx n ii
छंटनी	ch a q tx a n ii
छटने	ch a tx n ee
छटपटा	ch a tx a p tx aa
छटपटाने	ch a tx p a tx aa n ee
छटाओं	ch a tx aa o q
छठ	ch a txh
छठपूजा	ch a txh p uu j aa
छठवा	ch a txh w aa
छठवां	ch a txh w aa q
छठवी	ch a txh w ii
छठवीं	ch a txh w ii q
छठवे	ch a txh w ee
छठवें	ch a txh w ee q
छठा	ch a txh aa
छठी	ch a txh ii
छठे	ch a txh ee
छड़ी	ch a dxq ii
छत	ch a t
छतरपुर	ch a t r a p u r
छतरी	ch a t r ii
छतरू	ch a t r uu
छतरूटांड़	ch a t r uu tx aa q dxq
छतिया	ch a t i y aa
छतीस	ch a t ii s
छतीसगढ़	ch a t ii s g a dxhq
छतीसवीं	ch a t ii s w ii q
छतो	ch a t o
छतों	ch a t o q
छत्ता	ch a t t aa
छत्तीस	ch a t t ii s
छत्तीसगढ	ch a t t ii s g a dxh
छत्तीसगढ़	ch a t t ii s g a dxhq
छत्तीसगढ़	ch a t t ii s g a dxhq
छत्तीसवाँ	ch a t t ii s w aa mq
छत्तीसवीं	ch a t t ii s w ii q
छत्तू	ch a t t uu
छत्र	ch a t r
छत्रछाया	ch a t r a ch aa y aa
छत्रपति	ch a t r a p t i
छत्रिवृति	ch a t r i w rq t i
छत्रुटांड	ch a t r u tx aa q dx
छत्रुटांड़	ch a t r u tx aa q dxq
छंद	ch a q d
छदम	ch a d a m
छद्म	ch a d m
छनाडा	ch a n aa dx aa
छनो	ch a n o
छप	ch a p
छपकर	ch a p k a r
छपता	ch a p t aa
छपती	ch a p t ii
छपन	ch a p a n
छपने	ch a p n ee
छपरा	ch a p r aa
छपवाइए	ch a p w aa i ee
छपवाने	ch a p w aa n ee
छपवाया	ch a p w aa y aa
छपा	ch a p aa
छपाई	ch a p aa ii
छपी	ch a p ii
छपे	ch a p ee
छपें	ch a p ee q
छपेगा	ch a p ee g aa
छप्पन	ch a p p a n
छप्पर	ch a p p a r
छप्परा	ch a p p a r aa
छबिस	ch a b i s
छबीला	ch a b ii l aa
छबीस	ch a b ii s
छब्बीस	ch a b b ii s
छब्बीसवां	ch a b b ii s w aa q
छंभंगुर	ch a q bh a q g u r
छमा	ch a m aa
छमाही	ch a m aa h ii
छमिनी	ch a m i n ii
छयत्तर	ch a y a t t a r
छयालिस	ch a y aa l i s
छयालीस	ch a y aa l ii s
छयासठ	ch a y aa s a txh
छयासी	ch a y aa s ii
छरण	ch a r a nx
छरहरे	ch a r a h r ee 
छल	ch a l
छलकने	ch a l a k n ee
छलनी	ch a l n ii
छलांग	ch a l aa q g
छलावा	ch a l aa w aa
छलिया	ch a l i y aa
छल्ली	ch a l l ii
छवां	ch a w aa q
छवि	ch a w i
छवियों	ch a w i y o q
छसौ	ch a s ou
छह	ch a h
छहत्तर	ch a h a t t a r
छहमाही	ch a h m aa h ii
छहो	ch a h o
छा	ch aa
छाई	ch aa ii
छाए	ch aa ee
छाएगी	ch aa ee g ii
छाछ	ch aa ch
छाछट	ch aa ch a tx
छाजन	ch aa j a n
छांटना	ch aa q tx a n aa
छाड़	ch aa dxq
छाड़	ch aa dxq
छाता	ch aa t aa
छाती	ch aa t ii
छाते	ch aa t ee
छात्र	ch aa t r
छात्रवृति	ch aa t r a w rq t i
छात्रवृत्ति	ch aa t r a w rq t t i
छात्रवृत्तिया	ch aa t r a w rq t t i y aa
छात्रा	ch aa t r aa
छात्राए	ch aa t r aa ee
छात्राएँ	ch aa t r aa ee mq
छात्राएं	ch aa t r aa ee q
-छात्राओं	bh ch aa t r aa o q
छात्राओं	ch aa t r aa o q
छात्राये	ch aa t r aa y ee
छात्रायें	ch aa t r aa y ee q
छात्रावास	ch aa t r aa w aa s
छात्रावासों	ch aa t r aa w aa s o q
छात्रो	ch aa t r o
छात्रों	ch aa t r o q
छान	ch aa n
छानबीन	ch aa n b ii n
छाने	ch aa n ee
छाप	ch aa p
छापकर	ch aa p k a r
छापती	ch aa p t ii
छापने	ch aa p n ee
छापमारी	ch aa p m aa r ii
छापा	ch aa p aa
छापामार	ch aa p aa m aa r
छापामारी	ch aa p aa m aa r ii
छापामारों	ch aa p aa m aa r o q
छापी	ch aa p ii
छापीं	ch aa p ii q
छापे	ch aa p ee
छापेंगे	ch aa p ee q g ee
छापेमारी	ch aa p ee m aa r ii
छाबड़ा	ch aa b dxq aa
छाबड़ा	ch aa b a dxq aa
छाय	ch aa y
छाया	ch aa y aa
छायांकन	ch aa y aa q k a n
छायादार	ch aa y aa d aa r
छायान्वे	ch aa y aa n w ee
छायाप्रति	ch aa y aa p r a t i
छाये	ch aa y ee
छार	ch aa r
छाल	ch aa l
छालब	ch aa l a b
छाला	ch aa l aa
छाली	ch aa l ii
छाले	ch aa l ee
छाव	ch aa w
छाँव	ch aa mq w
छांव	ch aa q w
छावड़ा	ch aa w dxq aa
छावनियों	ch aa w n i y o q
छावनी	ch aa w n ii
छावी	ch aa w ii
छास	ch aa s
छाहों	ch aa h o q
छिचौरे	ch i c ou r ee
छिछला	ch i ch l aa
छिट	ch i tx
छिटपुट	ch i tx p u tx
छिड़	ch i dxq
छिड़	ch i dxq
छिड़क	ch i dxq a k
छिड़क	ch i dxq k
छिड़कना	ch i dxq k n aa
छिड़कवा	ch i dxq k w aa
छिड़कवाए	ch i dxq k w aa ee
छिड़कवाएं	ch i dxq k w aa ee q
